ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Architecture Tradeoff Analysis,,ATAM
2,Quality Attribute Workshop,1,ATAM
3,Utility Tree,1|2,ATAM
4,Quality Attribute Scenario,3,ATAM
5,Architectural Driver,4,ATAM
6,Sensitivity Point,3|5,ATAM
7,Tradeoff Point,6,ATAM
8,Architectural Risk,5|6,ATAM
9,Non-Risk,8,ATAM
10,Risk Theme,8,ATAM
11,Utility Tree Prioritization,3|4,ATAM
12,ATAM Stakeholder Roles,1,ATAM
13,Business Driver,1|12,ATAM
14,Architectural Approach,5|13,ATAM
15,ATAM Evaluation Team,1|12,ATAM
16,ATAM Nine-Step Process,1|13|15,ATAM
17,Architectural Decision Record,7|8|16,ATAM
18,Quality Attribute Refinement,3|4,ATAM
19,Scenario Stimulus,4,ATAM
20,Scenario Response Measure,4|19,ATAM
21,ATAM Output Artifacts,16|17,ATAM
22,Software Architecture View,14,ATAM
23,Database Management System,,FOUND
24,Data Model,23,FOUND
25,Schema,24,FOUND
26,Query Language,23|25,FOUND
27,Database Index,23|25,FOUND
28,Query Optimizer,26|27,FOUND
29,Storage Engine,23,FOUND
30,Data Serialization,23,FOUND
31,Workload Characterization,23,FOUND
32,Read/Write Ratio,31,FOUND
33,Latency vs Throughput,31,FOUND
34,OLTP Workload,31|32,FOUND
35,OLAP Workload,31|32,FOUND
36,HTAP Workload,34|35,FOUND
37,Data Volume Scaling,23|31,FOUND
38,Impedance Mismatch,24|26,FOUND
39,Query Expressiveness,26|28,FOUND
40,Operational Complexity,23,FOUND
41,Relational Data Model,24,REL
42,SQL,26|41,REL
43,Primary Key,41,REL
44,Foreign Key,41|43,REL
45,Normalization,41|43|44,REL
46,First Normal Form,45,REL
47,Third Normal Form,45|46,REL
48,Join Operation,41|42|44,REL
49,B-Tree Index,27|41,REL
50,Query Execution Plan,28|42|49,REL
51,Stored Procedure,42,REL
52,Database View,42|41,REL
53,Transaction Log,29,REL
54,Write-Ahead Log,53,REL
55,Multi-Version Concurrency,29|53,REL
56,Lock-Based Concurrency,29,REL
57,Deadlock Detection,56,REL
58,Connection Pooling,23,REL
59,PostgreSQL,41|42|55,REL
60,MySQL,41|42|56,REL
61,Columnar Storage,29|35,ANAL
62,Massively Parallel Processing,37|61,ANAL
63,Data Warehouse,35|24,ANAL
64,Star Schema,63|41,ANAL
65,Snowflake Schema,64,ANAL
